St.no;Year;Mnth;Date;Time(NMT);TA
25110;2006;1;7;20;-20.6
25110;2006;1;7;21;-20.8
25110;2006;1;7;22;-20.8
25110;2006;1;7;23;-20.8
25110;2006;1;7;24;-20.9
25110;2006;1;8;1;-21.2
25110;2006;1;8;2;-21.6
25110;2006;1;8;3;-22.1
25110;2006;1;8;4;-21.6
25110;2006;1;8;5;-22.4
25110;2006;1;8;6;-22.5
25110;2006;1;8;7;-22.5
25110;2006;1;8;8;-22.8
25110;2006;1;8;9;-23.0
25110;2006;1;8;10;-22.6
25110;2006;1;8;11;-21.3
25110;2006;1;8;12;-21.1
25110;2006;1;8;13;-20.6
25110;2006;1;8;14;-19.9
25110;2006;1;8;15;-19.9
25110;2006;1;8;16;-20.4
25110;2006;1;8;17;-20.9
25110;2006;1;8;18;-21.4
25110;2006;1;8;19;-21.7
25110;2006;1;8;20;-21.9
25110;2006;1;8;21;-22.3
25110;2006;1;8;22;-22.9
25110;2006;1;8;23;-22.9
25110;2006;1;8;24;-23.2
25110;2006;1;9;1;-23.3
25110;2006;1;9;2;-23.3
25110;2006;1;9;3;-23.4
25110;2006;1;9;4;-23.2
25110;2006;1;9;5;-23.6
25110;2006;1;9;6;-24.0
25110;2006;1;9;7;-24.2
25110;2006;1;9;8;-23.3
25110;2006;1;9;9;-23.4
25110;2006;1;9;10;-19.5
25110;2006;1;9;11;-17.5
25110;2006;1;9;12;-18.5
25110;2006;1;9;13;-19.9
25110;2006;1;9;14;-19.9
25110;2006;1;9;15;-20.2
25110;2006;1;9;16;-20.3
25110;2006;1;9;17;-19.8
25110;2006;1;9;18;-17.7
25110;2006;1;9;19;-15.7
25110;2006;1;9;20;-14.3
25110;2006;1;9;21;-12.9
25110;2006;1;9;22;-11.9
25110;2006;1;9;23;-11.0
25110;2006;1;9;24;-10.3
25110;2006;1;10;1;-9.6
25110;2006;1;10;2;-8.7
25110;2006;1;10;3;-7.6
25110;2006;1;10;4;-7.7
25110;2006;1;10;5;-7.3
25110;2006;1;10;6;-6.3
25110;2006;1;10;7;-6.0
25110;2006;1;10;8;-5.3
25110;2006;1;10;9;-4.7
25110;2006;1;10;10;-4.8
25110;2006;1;10;11;-4.3
25110;2006;1;10;12;-4.0
25110;2006;1;10;13;-3.1
25110;2006;1;10;14;-5.0
25110;2006;1;10;15;-6.2
25110;2006;1;10;16;-6.4
25110;2006;1;10;17;-5.4
25110;2006;1;10;18;-5.0
25110;2006;1;10;19;-4.8
25110;2006;1;10;20;-4.5
25110;2006;1;10;21;-4.2
25110;2006;1;10;22;-3.9
25110;2006;1;10;23;-3.1
25110;2006;1;10;24;-2.8
25110;2006;1;11;1;-2.5
25110;2006;1;11;2;-2.2
25110;2006;1;11;3;-1.9
25110;2006;1;11;4;-0.9
25110;2006;1;11;5;0.0
25110;2006;1;11;6;0.7
25110;2006;1;11;7;2.8
25110;2006;1;11;8;4.4
25110;2006;1;11;9;3.9
25110;2006;1;11;10;4.7
25110;2006;1;11;11;3.7
25110;2006;1;11;12;3.9
25110;2006;1;11;13;3.9
25110;2006;1;11;14;3.5
25110;2006;1;11;15;x
25110;2006;1;11;16;x
25110;2006;1;11;17;x
25110;2006;1;11;18;x
25110;2006;1;11;19;x
25110;2006;1;11;20;x
25110;2006;1;11;21;x
25110;2006;1;11;22;x
25110;2006;1;11;23;x
25110;2006;1;11;24;x
25110;2006;1;12;1;x
25110;2006;1;12;2;x
25110;2006;1;12;3;x
25110;2006;1;12;4;x
25110;2006;1;12;5;x
25110;2006;1;12;6;x
25110;2006;1;12;7;x
25110;2006;1;12;8;x
25110;2006;1;12;9;x
25110;2006;1;12;10;x
25110;2006;1;12;11;x
25110;2006;1;12;12;x
25110;2006;1;12;13;x
25110;2006;1;12;14;-1.0
25110;2006;1;12;15;-0.8
25110;2006;1;12;16;-2.1
25110;2006;1;12;17;-3.1
25110;2006;1;12;18;-4.2
25110;2006;1;12;19;-5.3
25110;2006;1;12;20;1.1
25110;2006;1;12;21;-2.7
25110;2006;1;12;22;-3.3
25110;2006;1;12;23;-5.4
25110;2006;1;12;24;-3.9
25110;2006;1;13;1;-4.0
25110;2006;1;13;2;-1.4
25110;2006;1;13;3;-0.7
25110;2006;1;13;4;-1.0
25110;2006;1;13;5;-0.1
25110;2006;1;13;6;-0.5
25110;2006;1;13;7;-1.6
25110;2006;1;13;8;-1.2
25110;2006;1;13;9;3.8
25110;2006;1;13;10;3.0
25110;2006;1;13;11;1.9
25110;2006;1;13;12;0.8
25110;2006;1;13;13;4.3
25110;2006;1;13;14;3.8
25110;2006;1;13;15;2.2
25110;2006;1;13;16;0.6
25110;2006;1;13;17;0.7
25110;2006;1;13;18;0.0
25110;2006;1;13;19;-0.5
25110;2006;1;13;20;-0.9
25110;2006;1;13;21;-0.9
25110;2006;1;13;22;-1.3
25110;2006;1;13;23;-1.3
25110;2006;1;13;24;-0.7
25110;2006;1;14;1;0.9
25110;2006;1;14;2;0.1
