Stnr;År;Mnd;Dag;Time(NMT);TW
76932;2011;1;8;6;6.8
76932;2011;1;8;7;6.8
76932;2011;1;8;8;6.8
76932;2011;1;8;9;6.8
76932;2011;1;8;10;6.7
76932;2011;1;8;11;6.7
76932;2011;1;8;12;6.6
76932;2011;1;8;13;6.6
76932;2011;1;8;14;6.6
76932;2011;1;8;15;6.6
76932;2011;1;8;16;6.6
76932;2011;1;8;17;6.6
76932;2011;1;8;18;6.6
76932;2011;1;8;19;6.7
76932;2011;1;8;20;6.7
76932;2011;1;8;21;6.7
76932;2011;1;8;22;6.7
76932;2011;1;8;23;6.7
76932;2011;1;8;24;6.7
76932;2011;1;9;1;6.8
76932;2011;1;9;2;6.8
76932;2011;1;9;3;6.8
76932;2011;1;9;4;6.8
76932;2011;1;9;5;6.8
76932;2011;1;9;6;6.8
76932;2011;1;9;7;6.8
76932;2011;1;9;8;6.8
76932;2011;1;9;9;6.8
76932;2011;1;9;10;6.8
76932;2011;1;9;11;6.8
76932;2011;1;9;12;6.8
76932;2011;1;9;13;6.7
76932;2011;1;9;14;6.8
76932;2011;1;9;15;6.7
76932;2011;1;9;16;6.8
76932;2011;1;9;17;6.8
76932;2011;1;9;18;6.8
76932;2011;1;9;19;6.8
76932;2011;1;9;20;6.8
76932;2011;1;9;21;6.8
76932;2011;1;9;22;6.8
76932;2011;1;9;23;6.8
76932;2011;1;9;24;6.8
76932;2011;1;10;1;6.8
76932;2011;1;10;2;6.8
76932;2011;1;10;3;6.8
76932;2011;1;10;4;6.8
76932;2011;1;10;5;6.8
76932;2011;1;10;6;6.8
76932;2011;1;10;7;6.8
76932;2011;1;10;8;6.7
76932;2011;1;10;9;6.7
76932;2011;1;10;10;6.7
76932;2011;1;10;11;6.7
76932;2011;1;10;12;6.7
76932;2011;1;10;13;6.8
76932;2011;1;10;14;6.8
76932;2011;1;10;15;6.8
76932;2011;1;10;16;6.8
76932;2011;1;10;17;6.8
76932;2011;1;10;18;6.8
76932;2011;1;10;19;6.8
76932;2011;1;10;20;6.8
76932;2011;1;10;21;6.8
76932;2011;1;10;22;6.8
76932;2011;1;10;23;6.8
76932;2011;1;10;24;6.8
76932;2011;1;11;1;6.8
76932;2011;1;11;2;6.8
76932;2011;1;11;3;6.8
76932;2011;1;11;4;6.8
76932;2011;1;11;5;6.8
76932;2011;1;11;6;6.8
76932;2011;1;11;7;6.8
76932;2011;1;11;8;6.8
76932;2011;1;11;9;6.8
76932;2011;1;11;10;6.8
76932;2011;1;11;11;6.8
76932;2011;1;11;12;6.8
76932;2011;1;11;13; 
76932;2011;1;11;14;6.8
76932;2011;1;11;15;6.8
76932;2011;1;11;16;6.8
76932;2011;1;11;17;6.8
76932;2011;1;11;18;6.8
76932;2011;1;11;19;6.8
76932;2011;1;11;20;6.8
76932;2011;1;11;21;6.9
76932;2011;1;11;22;6.9
76932;2011;1;11;23;6.8
76932;2011;1;11;24;6.8
76932;2011;1;12;1;6.8
76932;2011;1;12;2;6.8
76932;2011;1;12;3;6.8
76932;2011;1;12;4;6.8
76932;2011;1;12;5;6.8
76932;2011;1;12;6;6.8
76932;2011;1;12;7;6.8
76932;2011;1;12;8;6.8
76932;2011;1;12;9;6.8
76932;2011;1;12;10;6.8
76932;2011;1;12;11;6.8
76932;2011;1;12;12;6.8
76932;2011;1;12;13;6.8
76932;2011;1;12;14;6.8
76932;2011;1;12;15;6.7
76932;2011;1;12;16;6.7
76932;2011;1;12;17;6.8
76932;2011;1;12;18;6.8
76932;2011;1;12;19;6.8
76932;2011;1;12;20;6.8
76932;2011;1;12;21;6.7
76932;2011;1;12;22;6.7
76932;2011;1;12;23;6.8
76932;2011;1;12;24;6.7
76932;2011;1;13;1;6.7
76932;2011;1;13;2;6.7
76932;2011;1;13;3;6.7
76932;2011;1;13;4;6.7
76932;2011;1;13;5;6.7
76932;2011;1;13;6;6.7
76932;2011;1;13;7;6.6
76932;2011;1;13;8;6.6
76932;2011;1;13;9;6.7
76932;2011;1;13;10;6.7
76932;2011;1;13;11;6.7
76932;2011;1;13;12;6.7
76932;2011;1;13;13;6.7
76932;2011;1;13;14;6.8
76932;2011;1;13;15;6.8
76932;2011;1;13;16;6.8
76932;2011;1;13;17;6.8
76932;2011;1;13;18;6.8
76932;2011;1;13;19;6.8
76932;2011;1;13;20;6.8
76932;2011;1;13;21;6.8
76932;2011;1;13;22;6.8
76932;2011;1;13;23;6.8
76932;2011;1;13;24;6.8
76932;2011;1;14;1;6.8
76932;2011;1;14;2;6.8
76932;2011;1;14;3;6.8
76932;2011;1;14;4;6.8
76932;2011;1;14;5;6.9
76932;2011;1;14;6;6.9
76932;2011;1;14;7;6.9
76932;2011;1;14;8;6.9
76932;2011;1;14;9;6.9
76932;2011;1;14;10;6.9
76932;2011;1;14;11;6.9
76932;2011;1;14;12;6.9
76932;2011;1;14;13;6.9
76932;2011;1;14;14;6.9
76932;2011;1;14;15;6.8
76932;2011;1;14;16;6.9
76932;2011;1;14;17;6.9
76932;2011;1;14;18;6.9
76932;2011;1;14;19;6.9
76932;2011;1;14;20;6.9
76932;2011;1;14;21;7.0
76932;2011;1;14;22;7.0
76932;2011;1;14;23;7.0
76932;2011;1;14;24;7.0
76932;2011;1;15;1;7.0
76932;2011;1;15;2;7.0
76932;2011;1;15;3;7.0
76932;2011;1;15;4;7.1
76932;2011;1;15;5;7.1
76932;2011;1;15;6;7.1
76932;2011;1;15;7;7.1
76932;2011;1;15;8;7.1
