St.no;Year;Mnth;Date;Time(NMT);TA
68860;2009;1;7;21;-3.8
68860;2009;1;7;22;-3.5
68860;2009;1;7;23;-3.2
68860;2009;1;7;24;-2.8
68860;2009;1;8;1;-3.2
68860;2009;1;8;2;-4.3
68860;2009;1;8;3;-3.9
68860;2009;1;8;4;-2.3
68860;2009;1;8;5;-1.4
68860;2009;1;8;6;-0.5
68860;2009;1;8;7;0.4
68860;2009;1;8;8;0.8
68860;2009;1;8;9;3.0
68860;2009;1;8;10;3.8
68860;2009;1;8;11;4.5
68860;2009;1;8;12;4.5
68860;2009;1;8;13;5.3
68860;2009;1;8;14;4.8
68860;2009;1;8;15;4.7
68860;2009;1;8;16;4.3
68860;2009;1;8;17;3.5
68860;2009;1;8;18;4.4
68860;2009;1;8;19;4.2
68860;2009;1;8;20;5.7
68860;2009;1;8;21;6.2
68860;2009;1;8;22;5.4
68860;2009;1;8;23;5.6
68860;2009;1;8;24;5.0
68860;2009;1;9;1;5.6
68860;2009;1;9;2;5.3
68860;2009;1;9;3;5.1
68860;2009;1;9;4;4.8
68860;2009;1;9;5;4.9
68860;2009;1;9;6;4.4
68860;2009;1;9;7;4.2
68860;2009;1;9;8;4.6
68860;2009;1;9;9;4.7
68860;2009;1;9;10;4.6
68860;2009;1;9;11;4.7
68860;2009;1;9;12;5.4
68860;2009;1;9;13;4.5
68860;2009;1;9;14;4.5
68860;2009;1;9;15;4.9
68860;2009;1;9;16;5.3
68860;2009;1;9;17;5.9
68860;2009;1;9;18;5.4
68860;2009;1;9;19;5.4
68860;2009;1;9;20;5.5
68860;2009;1;9;21;5.6
68860;2009;1;9;22;5.5
68860;2009;1;9;23;3.1
68860;2009;1;9;24;3.3
68860;2009;1;10;1;3.0
68860;2009;1;10;2;0.1
68860;2009;1;10;3;-0.6
68860;2009;1;10;4;0.4
68860;2009;1;10;5;-0.1
68860;2009;1;10;6;-0.6
68860;2009;1;10;7;-1.1
68860;2009;1;10;8;-1.6
68860;2009;1;10;9;-2.4
68860;2009;1;10;10;-3.0
68860;2009;1;10;11;-2.2
68860;2009;1;10;12;-0.5
68860;2009;1;10;13;4.9
68860;2009;1;10;14;8.1
68860;2009;1;10;15;8.3
68860;2009;1;10;16;8.8
68860;2009;1;10;17;8.6
68860;2009;1;10;18;8.5
68860;2009;1;10;19;8.6
68860;2009;1;10;20;8.0
68860;2009;1;10;21;7.3
68860;2009;1;10;22;5.6
68860;2009;1;10;23;5.7
68860;2009;1;10;24;6.1
68860;2009;1;11;1;5.1
68860;2009;1;11;2;4.8
68860;2009;1;11;3;5.0
68860;2009;1;11;4;5.8
68860;2009;1;11;5;5.7
68860;2009;1;11;6;5.9
68860;2009;1;11;7;4.5
68860;2009;1;11;8;3.5
68860;2009;1;11;9;3.9
68860;2009;1;11;10;6.2
68860;2009;1;11;11;4.1
68860;2009;1;11;12;6.0
68860;2009;1;11;13;5.1
68860;2009;1;11;14;6.2
68860;2009;1;11;15;7.0
68860;2009;1;11;16;6.4
68860;2009;1;11;17;5.1
68860;2009;1;11;18;3.5
