St.no;Year;Mnth;Date;Time(NMT);TA
68860;2012;2;7;22;-1.6
68860;2012;2;7;23;-2.1
68860;2012;2;7;24;-2.5
68860;2012;2;8;1;-2.8
68860;2012;2;8;2;-2.9
68860;2012;2;8;3;-3.3
68860;2012;2;8;4;-3.6
68860;2012;2;8;5;-3.4
68860;2012;2;8;6;-4.8
68860;2012;2;8;7;-5.3
68860;2012;2;8;8;-5.4
68860;2012;2;8;9;-5.5
68860;2012;2;8;10;-5.6
68860;2012;2;8;11;-4.5
68860;2012;2;8;12;-3.3
68860;2012;2;8;13;-1.8
68860;2012;2;8;14;-1.7
68860;2012;2;8;15;-2.2
68860;2012;2;8;16;-2.4
68860;2012;2;8;17;-4.3
68860;2012;2;8;18;-4.1
68860;2012;2;8;19;-4.4
68860;2012;2;8;20;-4.1
68860;2012;2;8;21;-3.0
68860;2012;2;8;22;-2.2
68860;2012;2;8;23;-1.9
68860;2012;2;8;24;-2.3
68860;2012;2;9;1;-3.9
68860;2012;2;9;2;-1.8
68860;2012;2;9;3;1.5
68860;2012;2;9;4;1.6
68860;2012;2;9;5;1.5
68860;2012;2;9;6;1.1
68860;2012;2;9;7;0.6
68860;2012;2;9;8;0.4
68860;2012;2;9;9;0.2
68860;2012;2;9;10;0.1
68860;2012;2;9;11;0.3
68860;2012;2;9;12;0.4
68860;2012;2;9;13;0.6
68860;2012;2;9;14;0.6
68860;2012;2;9;15;0.5
68860;2012;2;9;16;0.3
68860;2012;2;9;17;0.2
68860;2012;2;9;18;-0.4
68860;2012;2;9;19;-1.6
68860;2012;2;9;20;-1.5
68860;2012;2;9;21;-1.8
68860;2012;2;9;22;-1.7
68860;2012;2;9;23;-1.3
68860;2012;2;9;24;-1.6
68860;2012;2;10;1;-0.7
68860;2012;2;10;2;-1.3
68860;2012;2;10;3;-1.0
68860;2012;2;10;4;-0.8
68860;2012;2;10;5;-0.9
68860;2012;2;10;6;-0.6
68860;2012;2;10;7;-0.4
68860;2012;2;10;8;-0.4
68860;2012;2;10;9;-0.3
68860;2012;2;10;10;0.0
68860;2012;2;10;11;0.4
68860;2012;2;10;12;0.7
68860;2012;2;10;13;0.9
68860;2012;2;10;14;1.5
68860;2012;2;10;15;1.9
68860;2012;2;10;16;2.1
68860;2012;2;10;17;1.2
68860;2012;2;10;18;1.4
68860;2012;2;10;19;1.2
68860;2012;2;10;20;1.0
68860;2012;2;10;21;-1.4
68860;2012;2;10;22;-1.9
68860;2012;2;10;23;-2.5
68860;2012;2;10;24;-2.2
68860;2012;2;11;1;-1.9
68860;2012;2;11;2;-2.3
68860;2012;2;11;3;-2.0
68860;2012;2;11;4;-3.2
68860;2012;2;11;5;-3.3
68860;2012;2;11;6;-3.5
68860;2012;2;11;7;-3.8
68860;2012;2;11;8;-2.4
68860;2012;2;11;9;-3.4
68860;2012;2;11;10;-3.3
68860;2012;2;11;11;-4.4
68860;2012;2;11;12;-4.3
68860;2012;2;11;13;-3.8
68860;2012;2;11;14;-3.1
68860;2012;2;11;15;-2.6
68860;2012;2;11;16;0.0
68860;2012;2;11;17;1.1
68860;2012;2;11;18;0.7
68860;2012;2;11;19;1.0
68860;2012;2;11;20;0.2
68860;2012;2;11;21;0.3
68860;2012;2;11;22;0.1
68860;2012;2;11;23;0.6
68860;2012;2;11;24;0.1
68860;2012;2;12;1;0.3
68860;2012;2;12;2;0.2
68860;2012;2;12;3;-0.1
68860;2012;2;12;4;0.1
68860;2012;2;12;5;-0.1
68860;2012;2;12;6;-0.4
68860;2012;2;12;7;-0.3
68860;2012;2;12;8;-0.1
68860;2012;2;12;9;-0.7
68860;2012;2;12;10;-0.1
68860;2012;2;12;11;-0.2
