Stnr;År;Mnd;Dag;Time(NMT);TW
76932;2010;1;1;1;7.7
76932;2010;1;1;2;7.7
76932;2010;1;1;3;7.7
76932;2010;1;1;4;7.7
76932;2010;1;1;5;7.7
76932;2010;1;1;6;7.6
76932;2010;1;1;7;7.6
76932;2010;1;1;8;7.6
76932;2010;1;1;9;7.6
76932;2010;1;1;10;7.6
76932;2010;1;1;11;7.6
76932;2010;1;1;12;7.7
76932;2010;1;1;13;7.7
76932;2010;1;1;14;7.7
76932;2010;1;1;15;7.7
76932;2010;1;1;16;7.7
76932;2010;1;1;17;7.7
76932;2010;1;1;18;7.7
76932;2010;1;1;19;7.7
76932;2010;1;1;20;7.6
76932;2010;1;1;21;7.6
76932;2010;1;1;22;7.5
76932;2010;1;1;23;7.5
76932;2010;1;1;24;7.4
76932;2010;1;2;1;7.3
76932;2010;1;2;2;7.3
76932;2010;1;2;3;7.2
76932;2010;1;2;4;7.2
76932;2010;1;2;5;7.1
76932;2010;1;2;6;7.1
76932;2010;1;2;7;7.1
76932;2010;1;2;8;7.0
76932;2010;1;2;9;6.9
76932;2010;1;2;10;6.9
76932;2010;1;2;11;6.9
76932;2010;1;2;12;6.8
76932;2010;1;2;13;6.8
76932;2010;1;2;14;6.8
76932;2010;1;2;15;6.8
76932;2010;1;2;16;6.8
76932;2010;1;2;17;6.9
76932;2010;1;2;18;6.9
76932;2010;1;2;19;6.9
76932;2010;1;2;20;6.9
76932;2010;1;2;21;7.0
76932;2010;1;2;22;6.9
76932;2010;1;2;23;6.9
76932;2010;1;2;24;6.9
76932;2010;1;3;1;7.0
76932;2010;1;3;2;7.0
76932;2010;1;3;3;7.0
76932;2010;1;3;4;7.0
76932;2010;1;3;5;7.0
76932;2010;1;3;6;7.1
76932;2010;1;3;7;7.0
76932;2010;1;3;8;7.0
76932;2010;1;3;9;7.0
76932;2010;1;3;10;7.1
76932;2010;1;3;11;7.1
76932;2010;1;3;12;7.2
76932;2010;1;3;13;7.2
76932;2010;1;3;14;7.2
76932;2010;1;3;15;7.3
76932;2010;1;3;16;7.3
76932;2010;1;3;17;7.4
76932;2010;1;3;18;7.4
76932;2010;1;3;19;7.5
76932;2010;1;3;20;7.5
76932;2010;1;3;21;7.5
76932;2010;1;3;22;7.5
76932;2010;1;3;23;7.5
76932;2010;1;3;24;7.5
76932;2010;1;4;1;7.6
76932;2010;1;4;2;7.6
76932;2010;1;4;3;7.6
76932;2010;1;4;4;7.6
76932;2010;1;4;5;7.6
76932;2010;1;4;6;7.6
76932;2010;1;4;7;7.6
76932;2010;1;4;8;7.6
76932;2010;1;4;9;7.5
76932;2010;1;4;10;7.6
76932;2010;1;4;11;7.5
76932;2010;1;4;12;7.5
76932;2010;1;4;13;7.5
76932;2010;1;4;14;7.5
76932;2010;1;4;15; 
76932;2010;1;4;16; 
76932;2010;1;4;17; 
