Stnr;År;Mnd;Dag;Time(NMT);TA
68860;2016;2;15;1;-6.2
68860;2016;2;15;2;-5.9
68860;2016;2;15;3;-6.1
68860;2016;2;15;4;-4.2
68860;2016;2;15;5;-2.9
68860;2016;2;15;6;-3.0
68860;2016;2;15;7;-2.5
68860;2016;2;15;8;-2.5
68860;2016;2;15;9;-2.5
68860;2016;2;15;10;-2.4
68860;2016;2;15;11;-2.1
68860;2016;2;15;12;-1.1
68860;2016;2;15;13;-1.3
68860;2016;2;15;14;-1.0
68860;2016;2;15;15;-1.0
68860;2016;2;15;16;-1.3
68860;2016;2;15;17;-1.5
68860;2016;2;15;18;-1.5
68860;2016;2;15;19;-2.1
68860;2016;2;15;20;-1.9
68860;2016;2;15;21;-2.0
68860;2016;2;15;22;-1.9
68860;2016;2;15;23;-1.7
68860;2016;2;15;24;-1.9
68860;2016;2;16;1;-1.8
68860;2016;2;16;2;-2.1
68860;2016;2;16;3;-1.8
68860;2016;2;16;4;-1.7
68860;2016;2;16;5;-1.6
68860;2016;2;16;6;-1.9
68860;2016;2;16;7;-1.8
68860;2016;2;16;8;-3.7
68860;2016;2;16;9;-4.9
68860;2016;2;16;10;-2.4
68860;2016;2;16;11;-3.3
68860;2016;2;16;12;-1.9
68860;2016;2;16;13;-2.1
68860;2016;2;16;14;-1.6
68860;2016;2;16;15;-2.4
68860;2016;2;16;16;-2.9
68860;2016;2;16;17;-1.8
68860;2016;2;16;18;-2.5
68860;2016;2;16;19;-2.3
68860;2016;2;16;20;-2.1
68860;2016;2;16;21;0.5
68860;2016;2;16;22;0.1
68860;2016;2;16;23;2.3
68860;2016;2;16;24;2.7
68860;2016;2;17;1;3.0
68860;2016;2;17;2;2.7
68860;2016;2;17;3;2.9
68860;2016;2;17;4;3.4
68860;2016;2;17;5;4.1
68860;2016;2;17;6;4.5
68860;2016;2;17;7;4.6
68860;2016;2;17;8;4.7
68860;2016;2;17;9;4.6
68860;2016;2;17;10;4.5
68860;2016;2;17;11;4.4
68860;2016;2;17;12;4.6
68860;2016;2;17;13;4.8
68860;2016;2;17;14;5.0
68860;2016;2;17;15;5.0
68860;2016;2;17;16;4.7
68860;2016;2;17;17;4.8
68860;2016;2;17;18;4.6
68860;2016;2;17;19;4.4
68860;2016;2;17;20;4.4
68860;2016;2;17;21;3.7
68860;2016;2;17;22;3.7
68860;2016;2;17;23;2.9
68860;2016;2;17;24;1.8
68860;2016;2;18;1;1.2
68860;2016;2;18;2;1.0
68860;2016;2;18;3;0.3
68860;2016;2;18;4;-0.2
68860;2016;2;18;5;-0.8
68860;2016;2;18;6;-1.7
68860;2016;2;18;7;-2.3
68860;2016;2;18;8;-2.4
68860;2016;2;18;9;-2.8
68860;2016;2;18;10;-3.1
68860;2016;2;18;11;-1.6
68860;2016;2;18;12;-0.6
68860;2016;2;18;13;0.1
68860;2016;2;18;14;0.3
68860;2016;2;18;15;-0.3
68860;2016;2;18;16;-0.4
68860;2016;2;18;17;-0.5
68860;2016;2;18;18;-0.6
68860;2016;2;18;19;-0.6
68860;2016;2;18;20;-0.6
68860;2016;2;18;21;-1.4
68860;2016;2;18;22;-1.5
68860;2016;2;18;23;-0.8
68860;2016;2;18;24;-2.1
68860;2016;2;19;1;-3.6
68860;2016;2;19;2;-4.2
68860;2016;2;19;3;-3.0
68860;2016;2;19;4;-4.5
68860;2016;2;19;5;-5.6
68860;2016;2;19;6;-5.1
68860;2016;2;19;7;-6.4
68860;2016;2;19;8;-5.8
68860;2016;2;19;9;-5.7
68860;2016;2;19;10;-4.5
68860;2016;2;19;11;-2.0
68860;2016;2;19;12;-1.4
68860;2016;2;19;13;-0.6
68860;2016;2;19;14;0.7
68860;2016;2;19;15;0.4
68860;2016;2;19;16;0.4
68860;2016;2;19;17;-0.6
68860;2016;2;19;18;-1.1
68860;2016;2;19;19;-0.5
68860;2016;2;19;20;-0.5
68860;2016;2;19;21;-0.1
68860;2016;2;19;22;-0.1
68860;2016;2;19;23;0.4
68860;2016;2;19;24;0.4
